Group Number,Original Response ID,Original Status,New Original Response ID,New Original Status,Duplicates Marked,Reason
81,466d1689-c3c7-4d60-90f4-f67bf62d1940,Pending_Approval,466d1689-c3c7-4d60-90f4-f67bf62d1940,Pending_Approval,1,Normal: Marked duplicates as Rejected
82,6ccae0fd-e916-459c-a93c-94849db0acc5,Rejected,e301bbb8-d284-4c19-adb0-33a727793e40,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
83,ef2c7f40-ffda-41ed-8377-c5036a778be8,Rejected,ef2c7f40-ffda-41ed-8377-c5036a778be8,Rejected,0,Normal: Marked duplicates as Rejected
84,559a9e63-472b-4bad-8427-605d8619e88d,Rejected,d0727976-2742-49f1-bff3-099b54695746,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
85,ca384e15-ae01-447f-90e7-2c3c7acb694e,Rejected,77544905-e179-4faa-883e-4a77231b9784,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
86,529082d1-5b69-46ab-93ef-a70307c7ec90,Rejected,d7285a72-c6ca-44be-99f8-63616ecb0695,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
87,a7f06a35-3866-4435-b5c8-a65d0e4608cd,Pending_Approval,a7f06a35-3866-4435-b5c8-a65d0e4608cd,Pending_Approval,2,Normal: Marked duplicates as Rejected
88,a3ab87c9-b48f-454f-b118-9218e694bcc7,Rejected,b8d7c0c1-2c51-4eea-8bc6-b8061b8422ac,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
89,69dd7855-3a39-4999-81a5-1a01c2705a0c,Rejected,8b352263-de8b-4776-b61e-faf2010c4070,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
90,8b877332-8383-487f-aaf2-fa502bb24a98,Rejected,8b877332-8383-487f-aaf2-fa502bb24a98,Rejected,0,Normal: Marked duplicates as Rejected
91,da928eef-dd7b-472e-b2e1-fab9d859cf4c,Rejected,da928eef-dd7b-472e-b2e1-fab9d859cf4c,Rejected,0,Normal: Marked duplicates as Rejected
92,61832a80-349a-4e6c-886b-ccf9c6ebe48b,Pending_Approval,61832a80-349a-4e6c-886b-ccf9c6ebe48b,Pending_Approval,2,Normal: Marked duplicates as Rejected
93,4760c7f4-10d9-408d-a33f-5927bdbafa46,Rejected,e1a8aebb-61dd-4a9b-ad84-aa514071c45f,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
94,49f8e7b1-0a3b-4552-b177-62fbd3051203,Rejected,4482336b-625a-44d6-b230-94d00ead2c31,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
95,864560f1-3865-424d-8dc6-28f7b6263fa4,Rejected,69cd1cac-1136-4a7a-af1c-9b84b05d214c,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
96,570dd88d-ec09-4bb1-90c5-b027f8b74cf6,Pending_Approval,570dd88d-ec09-4bb1-90c5-b027f8b74cf6,Pending_Approval,2,Normal: Marked duplicates as Rejected
97,49cb1b51-7804-48f6-be1a-091b2454176a,Pending_Approval,49cb1b51-7804-48f6-be1a-091b2454176a,Pending_Approval,1,Normal: Marked duplicates as Rejected
98,0e2662ea-0edd-4352-82dd-0d430729a20e,Rejected,f7510a5c-96ea-4ec6-8f82-7672e04df929,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
99,2981d200-8b9e-4252-a505-ed92898bffc2,Rejected,b515e13f-2a3a-4427-a61e-94c31154bd65,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
100,c4cdd3ca-fa70-485a-986d-6951d6e5f28f,Rejected,1eed8df3-46a3-409e-a23e-2b1bc54e129b,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
101,0ad2e399-d82f-43c2-85e0-967bdf32f704,Rejected,5a37d23d-8972-466d-be72-767b2ab59c91,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
102,b75387a8-ca60-4f17-aa7e-755b784df99f,Rejected,5af47b55-958e-4908-b1e3-6eb22f289bd7,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
103,1d8306f3-572a-4cc9-804e-2da6403e1825,Rejected,1d8306f3-572a-4cc9-804e-2da6403e1825,Rejected,0,Normal: Marked duplicates as Rejected
104,e50962f9-1774-4521-ae51-8df21ebf8cf7,Rejected,e50962f9-1774-4521-ae51-8df21ebf8cf7,Rejected,0,Normal: Marked duplicates as Rejected
105,3de32ee1-e4ad-4195-bc6c-c2156f756475,Rejected,93b83923-4068-427c-8ff9-968ebeecf407,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
106,90778751-c8d9-4f79-aa7c-8b42b1667bf2,Rejected,a0426660-2b72-46aa-a531-5da38d9b617c,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
107,d7d05104-1c25-41ab-976a-637ee4e0191b,Rejected,60a09fac-6daa-40e1-a4f7-8c5ce2470e1f,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
108,51f570ac-0382-4e2d-9769-39b9f2cf83d1,Pending_Approval,51f570ac-0382-4e2d-9769-39b9f2cf83d1,Pending_Approval,2,Normal: Marked duplicates as Rejected
109,8eefd494-1763-4152-a2e4-38a013ed5a97,Rejected,df9b26a4-5010-45f8-bf3e-1c91ea960105,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
110,44ff941c-08ad-47a8-84bc-9c737a77436a,Rejected,9fa91dc1-6708-4e7d-90d9-ec09b1edeb94,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
111,faffb118-e569-422e-a332-dfde527bf118,Rejected,526f4ec9-c175-437a-aed9-53e1cf3f54a4,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
112,0bd2e3fd-b79d-4254-bcf7-76c4042c0dc3,Rejected,20a0bf07-51c1-4e23-b3b9-c8b634133052,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
113,4fa9cf30-3712-4325-b5c3-186b4b129578,Rejected,4fa9cf30-3712-4325-b5c3-186b4b129578,Rejected,0,Normal: Marked duplicates as Rejected
114,819bf5ee-3fbb-45f5-b594-2aeb0eff6daa,Rejected,69d66e96-ecb7-484c-999d-e1b0bf614a17,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
115,bf901847-676a-421f-aad6-c2fc0aa1f1b0,Rejected,bf901847-676a-421f-aad6-c2fc0aa1f1b0,Rejected,0,Normal: Marked duplicates as Rejected
116,bff1fd72-97ef-4ec1-90f8-14f7ada51406,Rejected,bff1fd72-97ef-4ec1-90f8-14f7ada51406,Rejected,0,Normal: Marked duplicates as Rejected
117,887bc97b-2045-4e07-85e7-3c24e1c32c80,Rejected,8ed66d2b-a163-4169-b3ef-2b71be73002c,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
118,5d5de9f1-340d-4ae4-a676-52384a6cd7fd,Rejected,dbb6b4ec-5e12-479a-944f-2bfafef7b780,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
119,a5a4176c-68bc-40cb-9a8b-6e7254570159,Rejected,b6e1f835-0ede-4542-8274-ca47f5322c84,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
120,bb38b6a8-17e0-43f8-b718-780a482096e6,Rejected,d42827d9-eed1-4797-827e-6c52b1c9c70c,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
121,e198dd7b-558c-48fa-91d2-a61dae02224a,Rejected,898c461c-75f7-41e8-8539-c4d140dc1347,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
